,ts,resp_pkts,id.resp_h,resp_l2_addr,orig_l2_addr,source,orig_bytes,duration,uid,LINE_ID,local_resp,cat,conn_state,host,local_orig,service,offset,id.orig_h,resp_bytes,orig_ip_bytes,missed_bytes,id.resp_p,resp_ip_bytes,orig_pkts,history,GROUP_ID,batchtime,@timestamp,id.orig_p,proto
915,1580000000000.0,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756.0,0.00101,CwMj9e4XEEjAOdO9Ae,1001,False,conn,S0,wxs22cae,True,udp_5246,229352748,10.192.24.163,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,64347.0,udp
916,1580000000000.0,0,10.192.24.127,ff,8,/opt/bro/spool/bro/conn.log,1088.0,5.257549,CNHP3h39Eozla1Hwvk,1001,True,conn,S0,wxs22cae,True,dns,229353212,10.192.24.5,0.0,1536,0,137,0,16,D,sie866f9,2020-03-01T01,2020-03-01T01,137.0,udp
917,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,756.0,0.0005549999999999999,CfqB6o1Q3WlT4jWNqa,1001,False,conn,S0,wxs22cae,True,udp_5246,229353664,10.192.24.138,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55380.0,udp
918,1580000000000.0,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756.0,0.000603,CXQWbR36fAuuCLkdjd,1001,False,conn,S0,wxs22cae,True,udp_5246,229354117,10.192.24.171,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,49646.0,udp
919,1580000000000.0,0,239.255.255.250,1,4,/opt/bro/spool/bro/conn.log,1392.0,3.0131650000000003,Cxe5K61WpkSS0DE64e,1001,False,conn,S0,wxs22cae,True,udp_1900,229354571,10.192.24.115,0.0,1616,0,1900,0,8,D,sie866f9,2020-03-01T01,2020-03-01T01,49870.0,udp
920,1580000000000.0,0,255.255.255.255,ff,70,/opt/bro/spool/bro/conn.log,756.0,0.000524,C5kPnq3DpgvTOk6GOa,1001,False,conn,S0,wxs22cae,True,udp_5246,229355024,10.192.24.183,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,58720.0,udp
921,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,35.0,0.0018280000000000002,CXTgpli8b0NsrPz04,1001,False,conn,SF,wxs22cae,True,dns,229355489,10.192.24.93,85.0,63,0,53,113,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,45143.0,udp
922,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,41.0,0.360448,CPOXJU13l6Il5koPO8,1001,False,conn,SF,wxs22cae,True,dns,229355958,10.192.25.102,210.0,69,0,53,238,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,38345.0,udp
923,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,41.0,0.331383,C7xYD133mafBkKRgQg,1001,False,conn,SF,wxs22cae,True,dns,229356427,10.192.25.205,210.0,69,0,53,238,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,64483.0,udp
924,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,35.0,0.0008,CunqCJ1J9STE9agbx1,1001,False,conn,SF,wxs22cae,True,dns,229356892,10.192.25.205,99.0,63,0,53,127,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,58516.0,udp
925,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,35.0,0.001736,CHeoWq9GLeIFUTUFc,1001,False,conn,SF,wxs22cae,True,dns,229357359,10.192.25.183,99.0,63,0,53,127,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,53192.0,udp
926,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,38.0,0.297222,CHmEpecAkpwvv3gdk,1001,False,conn,SF,wxs22cae,True,dns,229357827,10.192.25.183,258.0,66,0,53,286,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,37434.0,udp
927,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,756.0,0.000557,CrWHxp1vEAZwyimxn2,1001,False,conn,S0,wxs22cae,True,udp_5246,229358279,10.192.24.143,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55270.0,udp
928,1580000000000.0,0,255.255.255.255,ff,0,/opt/bro/spool/bro/conn.log,756.0,0.00061,CHgDj92AihSAEH6SFc,1001,False,conn,S0,wxs22cae,True,udp_5246,229358731,10.192.24.176,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,62051.0,udp
929,1580000000000.0,0,ff02,33,84,/opt/bro/spool/bro/conn.log,100.0,1.1e-05,CbVlycQVaBj0gguT5,1001,False,conn,S0,wxs22cae,False,udp_547,229359186,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
930,1580000000000.0,0,ff02,33,ec,/opt/bro/spool/bro/conn.log,100.0,1.1e-05,CU4UD13Q1zEMnJTAhb,1001,False,conn,S0,wxs22cae,False,udp_547,229359643,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
931,1580000000000.0,0,ff02,33,70,/opt/bro/spool/bro/conn.log,100.0,1.1e-05,CaY3T32m3MraWhji83,1001,False,conn,S0,wxs22cae,False,udp_547,229360100,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
932,1580000000000.0,0,ff02,33,2c,/opt/bro/spool/bro/conn.log,100.0,9e-06,CdNEpB2xKc4NFEpbJ8,1001,False,conn,S0,wxs22cae,False,udp_547,229360556,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
933,1580000000000.0,0,ff02,33,70,/opt/bro/spool/bro/conn.log,100.0,1.1e-05,CUvfFd2JXZGTu2ibOk,1001,False,conn,S0,wxs22cae,False,udp_547,229361013,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
934,1580000000000.0,0,129.103.84.55,0,7c,/opt/bro/spool/bro/conn.log,0.0,0.0,CCMsv136M0kK47fiK,1001,False,conn,S0,wxs22cae,True,udp_53,229361407,10.192.25.91,0.0,69,0,53,0,1,D,sie866f9,2020-03-01T01,2020-03-01T01,18450.0,udp
935,1580000000000.0,1,129.103.84.215,0,7c,/opt/bro/spool/bro/conn.log,41.0,0.460524,CG3ivk24O9SCNvkSoh,1001,False,conn,SF,wxs22cae,True,dns,229361874,10.192.25.189,57.0,69,0,53,85,1,Dd,sie866f9,2020-03-01T01,2020-03-01T01,23556.0,udp
936,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,756.0,0.000542,CNFmUn39jgWEcLF18f,1001,False,conn,S0,wxs22cae,True,udp_5246,229362327,10.192.24.141,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55369.0,udp
937,1580000000000.0,0,10.192.25.255,ff,ec,/opt/bro/spool/bro/conn.log,402.0,8e-06,CSDwwF2bjsQqrKv6mb,1001,True,conn,S0,wxs22cae,True,udp_138,229362773,10.192.25.54,0.0,458,0,138,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,138.0,udp
938,1580000000000.0,0,ff02,33,d4,/opt/bro/spool/bro/conn.log,100.0,1.2e-05,CWvxmu4RpSoo1uYKib,1001,False,conn,S0,wxs22cae,False,udp_547,229363230,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
939,1580000000000.0,0,ff02,33,2c,/opt/bro/spool/bro/conn.log,100.0,9e-06,CzAHOd4T2bi8bQek2c,1001,False,conn,S0,wxs22cae,False,udp_547,229363685,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
940,1580000000000.0,0,255.255.255.255,ff,0,/opt/bro/spool/bro/conn.log,756.0,0.0005070000000000001,CrvUeVOfyfRCXUvV1,1001,False,conn,S0,wxs22cae,True,udp_5246,229364137,10.192.24.169,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,64622.0,udp
941,1580000000000.0,0,255.255.255.255,ff,ec,/opt/bro/spool/bro/conn.log,756.0,0.000538,CjXo1h2XBz48Pz6Qo,1001,False,conn,S0,wxs22cae,True,udp_5246,229364589,10.192.24.141,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,55369.0,udp
942,1580000000000.0,0,ff02,33,ec,/opt/bro/spool/bro/conn.log,100.0,1.2e-05,CGJvd92Nxvj3KGT7qh,1001,False,conn,S0,wxs22cae,False,udp_547,229365046,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
943,1580000000000.0,9,139.24.203.37,0,30,/opt/bro/spool/bro/conn.log,3447.0,0.095137,C23kIg4yiqcERqNHf7,1001,False,conn,SF,wxs22cae,True,radius,229365525,10.192.24.130,2906.0,3699,0,1812,3158,9,Dd,sie866f9,2020-03-01T01,2020-03-01T01,57896.0,udp
944,1580000000000.0,0,255.255.255.255,ff,84,/opt/bro/spool/bro/conn.log,756.0,0.000534,CXjH5y2GMoueExzRdg,1001,False,conn,S0,wxs22cae,True,udp_5246,229365978,10.192.24.174,0.0,868,0,5246,0,4,D,sie866f9,2020-03-01T01,2020-03-01T01,50100.0,udp
945,1580000000000.0,0,ff02,33,4,/opt/bro/spool/bro/conn.log,100.0,7e-06,CIdV4p1UZCu0Y0J52f,1001,False,conn,S0,wxs22cae,False,udp_547,229366432,fe80,0.0,196,0,547,0,2,D,sie866f9,2020-03-01T01,2020-03-01T01,546.0,udp
